match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,result
47,Villarreal,80.0,Villarreal,ESP,Salzburg,50.0,Salzburg,AUT,H
48,Villarreal,80.0,Villarreal,ESP,Ferencváros,35.0,Budapest,HUN,T
49,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Inter,99.0,Milan,ITA,T
50,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Atlético de Madrid,84.0,Madrid,ESP,A
51,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Braga,49.0,Braga,POR,A
52,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Monaco,24.0,Monaco,FRA,A
53,FC Porto,75.0,Porto,POR,Manchester United,92.0,Manchester,ENG,A
54,FC Porto,75.0,Porto,POR,Villarreal,80.0,Villarreal,ESP,A
55,FC Porto,75.0,Porto,POR,PSV,53.0,Eindhoven,NED,H
56,FC Porto,75.0,Porto,POR,Galatasaray,31.5,Istanbul,TUR,T
57,Arsenal,68.0,London,ENG,RB Leipzig,96.0,Leipzig,GER,H
58,Arsenal,68.0,London,ENG,Bayer 04 Leverkusen,78.0,Leverkusen,GER,H
59,Arsenal,68.0,London,ENG,Club Brugge,56.0,Bruges,BEL,T
60,Arsenal,68.0,London,ENG,Nice,17.0,Nice,FRA,H
61,West Ham,65.0,London,ENG,Roma,91.0,Rome,ITA,T
62,West Ham,65.0,London,ENG,Feyenoord,57.0,Rotterdam,NED,H
63,West Ham,65.0,London,ENG,AZ Alkmaar,50.0,Alkmaar,NED,H
64,West Ham,65.0,London,ENG,Mönchengladbach,21.0,Mönchengladbach,GER,T
65,Eintracht Frankfurt,60.0,Frankfurt,GER,Barcelona,85.0,Barcelona,ESP,A
66,Eintracht Frankfurt,60.0,Frankfurt,GER,FC Porto,75.0,Porto,POR,T
67,Eintracht Frankfurt,60.0,Frankfurt,GER,Crvena zvezda,40.0,Belgrade,SRB,A
68,Eintracht Frankfurt,60.0,Frankfurt,GER,Lugano,8.0,Lugano,SUI,H
69,Feyenoord,57.0,Rotterdam,NED,Sevilla,84.0,Seville,ESP,A
70,Feyenoord,57.0,Rotterdam,NED,Eintracht Frankfurt,60.0,Frankfurt,GER,T
71,Feyenoord,57.0,Rotterdam,NED,Lyon,44.0,Lyon,FRA,A
72,Feyenoord,57.0,Rotterdam,NED,Čukarički,8.0,Belgrade,SRB,H
73,Club Brugge,56.0,Bruges,BEL,Real Madrid,123.0,Madrid,ESP,A
74,Club Brugge,56.0,Bruges,BEL,Juventus,80.0,Turin,ITA,A
75,Club Brugge,56.0,Bruges,BEL,Tottenham Hotspur,54.0,London,ENG,H
76,Club Brugge,56.0,Bruges,BEL,Celtic,32.0,Glasgow,SCO,H
77,Tottenham Hotspur,54.0,London,ENG,Paris Saint-Germain,108.0,Paris,FRA,A
78,Tottenham Hotspur,54.0,London,ENG,Villarreal,80.0,Villarreal,ESP,H
79,Tottenham Hotspur,54.0,London,ENG,AZ Alkmaar,50.0,Alkmaar,NED,H
80,Tottenham Hotspur,54.0,London,ENG,Ferencváros,35.0,Budapest,HUN,H
81,AC Milan,53.0,Milan,ITA,Liverpool,107.0,Liverpool,ENG,T
82,AC Milan,53.0,Milan,ITA,Bayer 04 Leverkusen,78.0,Leverkusen,GER,H
83,AC Milan,53.0,Milan,ITA,Club Brugge,56.0,Bruges,BEL,T
84,AC Milan,53.0,Milan,ITA,Dynamo Kyiv,26.5,Bucharest,UKR,T
85,PSV,53.0,Eindhoven,NED,Inter,99.0,Milan,ITA,A
86,PSV,53.0,Eindhoven,NED,Atlético de Madrid,84.0,Madrid,ESP,T
87,PSV,53.0,Eindhoven,NED,AC Milan,53.0,Milan,ITA,A
88,PSV,53.0,Eindhoven,NED,Galatasaray,31.5,Istanbul,TUR,T
89,Salzburg,50.0,Salzburg,AUT,RB Leipzig,96.0,Leipzig,GER,T
90,Salzburg,50.0,Salzburg,AUT,FC Porto,75.0,Porto,POR,H
91,Salzburg,50.0,Salzburg,AUT,PSV,53.0,Eindhoven,NED,H
92,Salzburg,50.0,Salzburg,AUT,Mönchengladbach,21.0,Mönchengladbach,GER,A
93,AZ Alkmaar,50.0,Alkmaar,NED,Manchester United,92.0,Manchester,ENG,A
94,AZ Alkmaar,50.0,Alkmaar,NED,Arsenal,68.0,London,ENG,A
95,AZ Alkmaar,50.0,Alkmaar,NED,Salzburg,50.0,Salzburg,AUT,T
96,AZ Alkmaar,50.0,Alkmaar,NED,Monaco,24.0,Monaco,FRA,H
97,Braga,49.0,Braga,POR,Roma,91.0,Rome,ITA,A
98,Braga,49.0,Braga,POR,West Ham,65.0,London,ENG,T
99,Braga,49.0,Braga,POR,Crvena zvezda,40.0,Belgrade,SRB,H
100,Braga,49.0,Braga,POR,Čukarički,8.0,Belgrade,SRB,T
101,Lyon,44.0,Lyon,FRA,Barcelona,85.0,Barcelona,ESP,T
102,Lyon,44.0,Lyon,FRA,Eintracht Frankfurt,60.0,Frankfurt,GER,A
103,Lyon,44.0,Lyon,FRA,Braga,49.0,Braga,POR,T
104,Lyon,44.0,Lyon,FRA,Lugano,8.0,Lugano,SUI,T
105,Crvena zvezda,40.0,Belgrade,SRB,Sevilla,84.0,Seville,ESP,H
106,Crvena zvezda,40.0,Belgrade,SRB,Feyenoord,57.0,Rotterdam,NED,T
107,Crvena zvezda,40.0,Belgrade,SRB,Lyon,44.0,Lyon,FRA,H
108,Crvena zvezda,40.0,Belgrade,SRB,Nice,17.0,Nice,FRA,H
109,Ferencváros,35.0,Budapest,HUN,Real Madrid,123.0,Madrid,ESP,A
110,Ferencváros,35.0,Budapest,HUN,Atlético de Madrid,84.0,Madrid,ESP,H
111,Ferencváros,35.0,Budapest,HUN,Club Brugge,56.0,Bruges,BEL,A
112,Ferencváros,35.0,Budapest,HUN,Galatasaray,31.5,Istanbul,TUR,A
113,Celtic,32.0,Glasgow,SCO,Paris Saint-Germain,108.0,Paris,FRA,A
114,Celtic,32.0,Glasgow,SCO,Juventus,80.0,Turin,ITA,T
115,Celtic,32.0,Glasgow,SCO,Tottenham Hotspur,54.0,London,ENG,A
116,Celtic,32.0,Glasgow,SCO,Ferencváros,35.0,Budapest,HUN,A
117,Galatasaray,31.5,Istanbul,TUR,Liverpool,107.0,Liverpool,ENG,A
118,Galatasaray,31.5,Istanbul,TUR,Villarreal,80.0,Villarreal,ESP,A
119,Galatasaray,31.5,Istanbul,TUR,AC Milan,53.0,Milan,ITA,A
120,Galatasaray,31.5,Istanbul,TUR,Celtic,32.0,Glasgow,SCO,H
121,Dynamo Kyiv,26.5,Bucharest,UKR,Inter,99.0,Milan,ITA,A
122,Dynamo Kyiv,26.5,Bucharest,UKR,Bayer 04 Leverkusen,78.0,Leverkusen,GER,A
123,Dynamo Kyiv,26.5,Bucharest,UKR,PSV,53.0,Eindhoven,NED,A
124,Dynamo Kyiv,26.5,Bucharest,UKR,Mönchengladbach,21.0,Mönchengladbach,GER,H
125,Monaco,24.0,Monaco,FRA,RB Leipzig,96.0,Leipzig,GER,A
126,Monaco,24.0,Monaco,FRA,FC Porto,75.0,Porto,POR,T
127,Monaco,24.0,Monaco,FRA,Salzburg,50.0,Salzburg,AUT,A
128,Monaco,24.0,Monaco,FRA,Dynamo Kyiv,26.5,Bucharest,UKR,A
129,Mönchengladbach,21.0,Mönchengladbach,GER,Manchester United,92.0,Manchester,ENG,H
130,Mönchengladbach,21.0,Mönchengladbach,GER,Arsenal,68.0,London,ENG,A
131,Mönchengladbach,21.0,Mönchengladbach,GER,AZ Alkmaar,50.0,Alkmaar,NED,A
132,Mönchengladbach,21.0,Mönchengladbach,GER,Monaco,24.0,Monaco,FRA,A
133,Nice,17.0,Nice,FRA,Roma,91.0,Rome,ITA,T
134,Nice,17.0,Nice,FRA,West Ham,65.0,London,ENG,A
135,Nice,17.0,Nice,FRA,Braga,49.0,Braga,POR,A
136,Nice,17.0,Nice,FRA,Lugano,8.0,Lugano,SUI,T
137,Čukarički,8.0,Belgrade,SRB,Barcelona,85.0,Barcelona,ESP,A
138,Čukarički,8.0,Belgrade,SRB,Eintracht Frankfurt,60.0,Frankfurt,GER,A
139,Čukarički,8.0,Belgrade,SRB,Lyon,44.0,Lyon,FRA,A
140,Čukarički,8.0,Belgrade,SRB,Nice,17.0,Nice,FRA,T
141,Lugano,8.0,Lugano,SUI,Sevilla,84.0,Seville,ESP,A
142,Lugano,8.0,Lugano,SUI,Feyenoord,57.0,Rotterdam,NED,T
143,Lugano,8.0,Lugano,SUI,Crvena zvezda,40.0,Belgrade,SRB,A
144,Lugano,8.0,Lugano,SUI,Čukarički,8.0,Belgrade,SRB,A
